symbol,ltp,high,low,open,close,ycp,trade,value,volume
GP,258.1,258.5,256.2,257.5,258.1,257.0,636,20.998,81411
GP,257.0,257.8,255.7,256.3,257.0,256.3,867,21.843,85111
GP,256.3,258.0,255.7,257.8,256.3,257.5,1718,41.827,162867
GP,257.5,259.0,257.2,258.6,257.5,257.5,1239,30.565,118569
GP,257.5,259.0,256.6,259.0,257.5,258.6,2344,65.527,254212
GP,258.6,259.8,258.0,259.8,258.6,258.2,1356,39.305,151914
GP,258.2,258.9,256.1,258.9,258.2,259.1,1459,49.501,191662
GP,259.1,259.3,256.0,256.6,259.1,256.7,1168,43.255,167069
GP,256.7,259.2,255.8,259.2,256.7,259.4,2237,69.968,272399
GP,259.4,259.8,257.0,258.0,259.4,258.9,892,30.898,119160
GP,258.9,259.6,257.3,259.0,258.9,258.7,846,33.622,130151
GP,258.7,259.8,256.9,258.5,258.7,257.6,991,34.343,132768
GP,258.3,258.3,256.5,258.3,257.6,258.3,1048,31.237,121411
GP,258.3,259.6,255.3,259.6,258.3,259.6,1416,55.774,217235
GP,259.6,261.5,259.0,260.5,259.6,260.5,2094,81.55,313962
GP,260.5,261.0,259.5,259.5,260.5,259.5,1781,82.465,316694
GP,259.5,259.8,257.2,257.2,259.5,257.1,1760,71.165,274771
GP,257.1,258.0,255.8,257.5,257.1,257.5,1731,77.828,303083
GP,257.5,258.0,254.9,255.0,257.5,254.9,1364,63.159,245878
GP,254.9,255.0,252.5,254.4,254.9,254.1,1205,47.73,187739
GP,254.1,257.5,253.0,257.5,254.1,257.0,2013,72.301,283730
GP,257.0,257.5,252.5,252.5,257.0,252.3,1841,59.776,233537
GP,252.3,254.4,251.5,251.5,252.3,251.5,1790,74.467,294401
GP,251.5,252.5,250.0,250.9,251.5,250.6,974,38.672,153687
GP,250.6,252.5,248.5,249.6,250.6,249.5,1039,33.601,134238
GP,249.5,252.5,249.4,250.0,249.5,249.2,1131,39.813,159179
GP,249.2,249.9,248.0,248.0,249.2,247.8,906,23.62,94814
GP,247.8,251.0,247.5,251.0,247.8,249.9,1040,18.145,73005
GP,249.9,251.0,248.7,249.0,249.9,248.2,1300,42.397,169783
GP,248.7,249.0,245.8,246.0,248.2,246.7,1070,45.27,182693
GP,246.9,248.0,245.0,246.8,246.7,246.2,1104,40.194,163212
GP,246.2,247.1,242.2,243.0,246.2,242.2,1839,61.186,248898
GP,242.2,243.9,240.2,241.0,242.2,241.0,1481,52.05,215753
GP,241.0,241.7,240.3,241.0,241.0,240.3,1106,35.886,148900
GP,240.3,241.5,239.9,240.6,240.3,240.6,956,25.087,104253
GP,240.4,242.5,240.0,241.5,240.6,241.0,1177,23.407,97250
GP,241.0,241.6,240.0,241.4,241.0,241.0,817,23.534,97694
GP,241.0,241.3,237.9,238.0,241.0,237.7,630,17.027,70893
GP,237.7,239.8,237.5,239.8,237.7,237.8,958,23.361,98223
GP,237.8,240.6,237.4,238.9,237.8,238.1,1064,17.587,73899
GP,238.1,239.0,237.9,238.1,238.1,238.1,825,16.442,69017
GP,238.1,239.1,237.9,238.3,238.1,238.1,821,17.25,72392
GP,238.1,239.9,237.9,239.9,238.1,238.8,1021,16.523,69301
GP,238.8,240.0,238.5,239.0,238.8,239.0,995,19.652,82226
GP,239.0,239.9,238.9,239.7,239.0,239.7,986,16.984,70989
GP,239.7,240.9,239.4,240.1,239.7,239.9,798,18.874,78738
GP,239.9,241.8,239.3,241.8,239.9,240.2,1052,34.028,141924
GP,240.3,242.9,240.0,242.9,240.2,241.1,1168,38.306,159178
GP,241.6,242.9,240.9,242.1,241.1,241.1,582,20.397,84546
GP,241.1,243.6,240.5,241.0,241.1,241.1,672,27.292,113155
GP,241.8,243.0,240.3,242.5,241.1,242.4,1403,30.227,125317
GP,242.4,251.0,242.0,245.0,242.4,242.9,1026,37.13,153105
GP,242.9,244.9,242.5,243.0,242.9,243.0,749,21.701,89303
GP,243.0,247.0,242.5,247.0,243.0,245.5,1027,27.389,112732
GP,245.5,252.0,243.2,252.0,245.5,242.8,491,12.698,51823
GP,242.8,244.8,242.5,244.8,242.8,244.7,1095,31.547,129709
GP,244.7,247.9,244.4,247.8,244.7,246.7,739,25.879,105077
GP,246.7,247.6,245.2,245.2,246.7,245.2,923,19.848,80551
GP,245.2,246.5,242.7,243.9,245.2,242.0,1051,34.295,140502
GP,242.0,243.9,241.5,243.9,242.0,241.5,783,22.945,94853
GP,241.6,243.0,240.9,241.8,241.5,241.8,995,17.79,73660
GP,241.8,243.1,241.6,242.3,241.8,242.3,787,18.726,77345
GP,242.3,246.0,241.9,243.0,242.3,242.8,667,15.614,64439
GP,242.8,246.9,242.6,242.7,242.8,242.7,528,13.242,54446
GP,242.7,244.0,242.0,242.0,242.7,241.9,539,10.405,42818
GP,242.2,243.8,241.0,243.8,241.9,242.2,716,12.847,53168
GP,243.8,245.9,241.1,245.9,242.2,244.6,666,13.148,54254
GP,244.6,248.0,243.0,248.0,244.6,246.3,620,14.125,57702
GP,246.3,248.3,240.3,240.5,246.3,238.3,1360,54.475,223551
GP,239.3,241.4,237.9,239.3,238.3,239.2,1360,32.398,135844
GP,239.2,242.4,238.0,240.0,239.2,239.9,1165,35.068,146258
GP,239.9,245.4,239.6,245.4,239.9,243.3,1608,30.167,125464
GP,243.3,246.0,242.7,244.0,243.3,244.5,1288,34.02,139739
GP,244.5,246.0,243.0,245.0,244.5,244.0,1423,34.217,140374
GP,244.8,245.9,243.8,245.5,244.0,245.3,1160,33.756,138121
GP,245.3,248.0,245.0,248.0,245.3,246.6,1234,22.436,91383
GP,246.6,249.3,246.0,249.3,246.6,248.2,1084,29.286,118662
GP,248.2,252.0,247.7,251.1,248.2,251.1,1698,29.745,119769
GP,251.1,254.5,250.5,254.5,251.1,254.5,1418,23.914,94923
GP,254.5,255.2,252.0,254.9,254.5,253.0,923,22.753,89748
GP,253.0,257.0,251.0,255.0,253.0,254.0,602,10.024,39621
GP,254.0,255.2,248.5,250.0,254.0,249.8,773,16.335,64756
GP,249.8,255.1,247.5,255.1,249.8,250.6,935,34.294,137538
GP,250.6,251.8,240.0,240.5,250.6,239.7,1320,38.045,153368
GP,239.7,241.0,238.0,240.0,239.7,239.9,1668,38.374,160275
GP,239.9,245.9,239.5,245.9,239.9,245.1,1939,59.373,246516
GP,245.1,248.0,243.9,245.3,245.1,244.8,1189,31.627,129283
GP,244.8,251.9,238.1,251.9,244.8,259.5,3867,98.014,401020
GP,0.0,0.0,0.0,0.0,259.5,259.5,0,0.0,0
GP,259.5,260.6,258.2,260.2,259.5,260.2,3297,116.492,449709
GP,260.2,262.1,257.0,262.0,260.2,262.1,1614,39.648,152247
GP,262.1,265.9,261.0,265.9,262.1,265.1,3773,136.364,519082
GP,265.1,266.0,263.2,264.0,265.1,264.0,590,15.544,58804
GP,264.0,267.2,263.5,266.4,264.0,266.3,1734,50.882,192242
GP,266.3,266.9,262.8,266.9,266.3,264.2,989,28.153,106147
GP,264.2,266.2,263.9,266.2,264.2,265.0,893,20.922,79140
GP,265.0,267.5,264.8,267.0,265.0,267.0,1311,29.043,109206
GP,267.0,268.5,266.5,268.5,267.0,268.5,1313,32.081,120022
GP,268.5,273.5,268.0,270.1,268.5,269.4,1369,42.313,156484
GP,270.0,278.0,268.8,278.0,269.4,274.3,2284,71.99,266262
GP,274.3,275.0,266.0,270.0,274.3,266.1,2900,121.31,447224
GP,266.1,266.5,264.1,265.5,266.1,264.6,1178,38.275,144040
GP,264.6,265.2,261.6,262.4,264.6,261.4,1018,23.979,91101
GP,262.3,263.7,260.5,263.7,261.4,262.2,1222,26.256,100429
GP,262.2,264.0,262.0,263.0,262.2,262.8,1563,50.499,192190
GP,262.8,264.8,261.0,264.8,262.8,264.8,1930,70.674,269159
GP,264.8,265.0,260.1,261.8,264.8,261.8,1751,45.824,174154
GP,261.8,267.3,260.8,267.1,261.8,267.8,2598,59.587,226175
GP,267.8,271.5,267.0,271.5,267.8,271.7,1656,43.548,162127
GP,271.7,272.0,267.7,267.7,271.7,267.8,1333,36.214,134153
GP,267.8,269.0,266.0,267.1,267.8,267.1,1475,55.754,208214
GP,267.1,267.6,263.7,264.7,267.1,263.6,1198,38.687,145540
GP,263.6,265.0,262.0,265.0,263.6,264.3,824,20.876,79230
GP,264.3,265.0,262.0,265.0,264.3,263.1,1315,40.987,155593
GP,263.1,264.9,261.0,264.7,263.1,264.9,1883,79.438,302040
GP,264.9,266.0,258.6,260.0,264.9,259.9,1839,60.583,230518
GP,259.9,262.6,256.7,259.3,259.9,259.4,2467,84.717,328134
GP,259.4,260.6,253.0,257.0,259.4,255.3,1188,28.112,109507
GP,255.3,257.5,253.5,253.5,255.3,253.3,1440,45.908,179774
GP,253.3,254.8,251.0,251.2,253.3,251.2,912,28.304,112152
GP,251.2,251.7,250.5,251.2,251.2,251.2,1054,20.784,82851
GP,251.5,252.8,250.5,252.8,251.2,252.6,1280,25.203,100324
GP,252.6,254.6,252.0,254.1,252.6,254.1,1360,36.462,143888
GP,254.1,256.0,253.5,254.0,254.1,253.8,1500,56.375,221855
GP,253.8,254.5,253.5,253.5,253.8,253.0,929,29.975,118080
GP,253.0,254.8,252.1,254.8,253.0,252.9,1145,29.285,115623
GP,252.9,253.5,252.0,253.3,252.9,253.2,956,19.197,75878
GP,253.4,256.4,250.4,256.4,253.2,256.5,2244,35.671,141358
GP,256.5,260.0,254.8,260.0,256.5,257.9,1452,26.912,105061
GP,257.9,258.9,257.4,258.2,257.9,258.6,709,19.084,73935
GP,258.6,260.9,257.2,260.3,258.6,260.3,678,10.726,41480
GP,260.3,263.0,260.1,263.0,260.3,260.9,725,14.843,56806
GP,260.9,263.9,258.5,263.9,260.9,258.6,582,8.457,32524
GP,258.6,260.7,258.1,259.2,258.6,258.8,722,14.977,57785
GP,258.8,260.0,258.0,258.3,258.8,258.3,731,13.666,52688
GP,258.3,259.3,257.0,258.1,258.3,258.7,540,6.245,24195
GP,258.7,260.8,258.0,260.3,258.7,260.3,746,12.336,47646
GP,260.3,262.0,257.2,257.5,260.3,257.4,945,17.581,67914
GP,257.4,259.4,255.5,258.7,257.4,259.0,1339,23.116,89910
GP,259.0,264.8,257.6,264.8,259.0,265.5,2754,46.252,178571
GP,265.5,271.3,262.1,271.3,265.5,269.8,3093,62.633,236490
GP,269.8,274.9,269.0,274.9,269.8,273.2,2460,69.277,255073
GP,275.0,279.0,272.0,278.8,273.2,278.0,2583,36.601,133153
GP,278.0,279.1,278.0,278.7,278.0,278.2,677,7.329,26336
GP,278.2,279.3,278.0,278.5,278.2,279.0,662,6.538,23469
GP,279.0,280.4,278.5,280.2,279.0,280.1,344,4.133,14810
GP,280.5,282.0,280.0,280.0,280.1,279.7,310,5.681,20249
GP,279.7,280.5,277.5,279.0,279.7,277.6,356,6.171,22108
GP,277.6,280.0,277.0,279.0,277.6,279.5,674,13.443,48400
GP,279.5,282.0,276.0,278.4,279.5,278.4,462,8.49,30481
GP,278.4,280.0,275.5,277.9,278.4,277.9,473,9.603,34581
GP,277.9,278.5,276.5,277.5,277.9,277.5,326,6.01,21674
GP,277.5,278.0,275.0,277.7,277.5,275.2,648,20.582,74687
GP,275.2,276.0,273.9,275.0,275.2,274.0,727,15.975,58090
GP,274.0,274.4,272.0,273.3,274.0,273.3,318,8.618,31513
GP,273.3,278.1,272.1,277.4,273.3,273.9,621,10.118,36914
GP,273.9,277.5,271.9,277.5,273.9,272.4,946,25.274,92395
GP,272.4,278.0,271.8,276.0,272.4,271.9,957,20.686,75898
GP,271.9,277.0,267.0,270.0,271.9,271.4,842,13.887,51017
GP,271.4,279.0,263.9,279.0,271.4,277.2,1369,34.391,127815
GP,277.2,279.9,270.2,279.0,277.2,278.5,617,8.651,31412
GP,278.4,279.7,278.0,278.7,278.5,277.7,341,9.095,32676
GP,279.5,279.5,276.3,276.4,277.7,277.3,346,4.82,17360
GP,277.3,281.1,276.4,281.1,277.3,281.1,895,15.986,57457
GP,281.1,286.0,280.6,286.0,281.1,282.8,363,5.047,17938
GP,282.8,284.0,281.0,283.8,282.8,284.3,287,4.81,17031
GP,284.3,286.0,282.5,286.0,284.3,283.3,294,6.194,21792
GP,283.3,284.0,281.5,284.0,283.3,281.1,342,6.906,24447
GP,281.1,282.8,280.0,282.8,281.1,281.6,329,7.251,25798
GP,281.6,285.6,281.2,283.4,281.6,283.4,535,8.235,29171
GP,283.4,285.0,278.0,278.0,283.4,278.7,332,4.885,17350
GP,278.0,283.0,277.8,283.0,278.7,281.0,1054,15.81,56682
GP,281.0,283.8,280.5,282.7,281.0,282.5,951,19.522,69277
GP,284.3,286.1,282.0,286.1,282.5,286.1,1453,21.865,77180
GP,286.1,288.4,285.0,288.4,286.1,287.8,604,11.186,39089
GP,287.8,289.0,286.5,286.5,287.8,286.4,335,9.621,33432
GP,286.4,288.9,285.0,288.9,286.4,285.9,462,9.801,34241
GP,285.9,290.6,285.0,290.0,285.9,287.3,1206,19.614,68474
GP,287.4,287.4,286.0,287.1,287.3,287.1,413,7.063,24603
GP,287.1,290.0,285.0,290.0,287.1,287.9,404,7.612,26530
GP,287.9,292.0,287.1,290.0,287.9,290.8,730,9.947,34455
GP,290.8,292.4,290.0,292.4,290.8,292.4,453,13.105,45076
GP,292.4,294.9,292.0,294.9,292.4,294.0,734,12.507,42713
GP,294.4,294.8,292.8,293.5,294.0,293.5,401,9.804,33393
GP,293.5,296.4,293.2,296.4,293.5,294.3,447,9.399,31975
GP,294.3,295.9,293.0,294.5,294.3,294.2,466,12.818,43559
GP,294.2,296.4,293.0,296.4,294.2,294.7,541,12.589,42779
GP,294.7,301.0,292.3,298.0,294.7,298.1,1373,25.953,87689
GP,298.1,302.0,298.0,302.0,298.1,298.7,634,21.062,70610
GP,298.7,302.9,298.4,298.4,298.7,299.0,453,7.459,24928
GP,299.0,303.9,297.5,297.5,299.0,298.0,567,14.091,47264
GP,298.0,299.9,297.8,299.2,298.0,299.1,744,48.456,162289
GP,299.1,300.0,298.0,300.0,299.1,298.4,399,9.111,30497
GP,298.4,301.5,297.9,298.5,298.4,299.0,523,10.992,36743
GP,299.0,300.8,298.1,298.8,299.0,298.5,560,9.969,33360
GP,298.5,301.0,298.0,300.0,298.5,300.1,1794,25.407,84936
GP,300.1,301.1,299.6,300.3,300.1,300.3,501,9.207,30681
GP,300.3,302.0,300.0,301.1,300.3,301.1,479,11.768,39149
GP,301.1,302.7,301.0,302.7,301.1,301.8,312,10.889,36142
GP,301.8,302.8,300.6,301.1,301.8,301.8,367,7.496,24859
GP,301.8,303.0,300.4,301.0,301.8,301.0,302,6.983,23126
GP,301.0,303.0,299.9,299.9,301.0,299.9,611,15.484,51445
GP,299.9,302.8,299.4,301.0,299.9,301.8,625,11.699,38950
GP,301.8,303.0,300.3,303.0,301.8,300.3,422,8.206,27195
GP,300.3,304.6,300.0,301.0,300.3,300.8,611,11.41,37846
GP,300.8,307.8,299.9,305.1,300.8,305.4,1603,44.066,145978
GP,306.0,308.5,304.7,308.5,305.4,306.3,689,26.313,86096
GP,306.3,308.5,304.1,304.5,306.3,304.4,483,17.276,56577
GP,304.4,309.0,304.0,309.0,304.4,309.7,1467,51.039,167101
GP,309.7,311.5,309.0,311.5,309.7,310.3,663,26.932,86896
GP,310.3,311.7,304.0,309.0,310.3,307.0,1388,64.559,209199
GP,307.0,311.0,306.5,311.0,307.0,310.4,1147,79.21,257183
GP,310.4,311.9,306.0,307.0,310.4,305.4,1546,49.643,160761
GP,305.4,305.9,299.0,299.6,305.4,299.6,1024,32.61,107251
GP,299.6,300.0,298.5,298.8,299.6,298.6,442,11.051,36910
GP,298.6,301.1,296.3,298.0,298.6,298.7,821,32.82,109700
GP,298.7,300.9,296.0,300.9,298.7,296.6,626,17.215,57829
GP,296.5,300.0,296.0,300.0,296.6,299.2,1439,39.609,133319
GP,299.2,303.9,298.5,300.5,299.2,301.8,1208,36.765,122478
GP,301.8,305.0,301.0,303.0,301.8,302.1,623,22.836,75517
GP,302.1,306.0,301.0,305.9,302.1,305.0,1261,42.961,141735
GP,305.0,306.4,304.0,306.0,305.0,303.8,737,34.016,111618
GP,303.8,307.0,303.0,306.0,303.8,304.8,1031,48.36,159016
GP,304.8,310.0,301.4,309.9,304.8,315.3,1764,66.721,219204
GP,0.0,0.0,0.0,0.0,315.3,315.3,0,0.0,0
GP,315.3,317.2,315.0,316.8,315.3,316.5,1086,48.907,154839
GP,316.5,317.5,314.0,314.0,316.5,316.2,891,35.995,113867
GP,316.2,317.3,312.8,317.0,316.2,315.7,1384,41.954,133369
GP,315.7,318.7,315.0,317.1,315.7,317.0,1038,45.237,142954
GP,317.0,321.0,315.2,320.0,317.0,317.2,1691,98.797,310662
GP,317.2,322.0,316.3,320.0,317.2,318.5,1300,56.968,178350
GP,318.5,319.0,313.0,313.5,318.5,313.0,930,42.076,132516
GP,313.0,315.0,310.0,312.7,313.0,312.7,1313,62.616,199911
GP,312.7,315.0,309.9,310.5,312.7,312.2,1197,42.797,137076
GP,312.2,320.0,310.1,320.0,312.2,319.3,1510,51.662,164025
GP,319.3,324.8,318.1,320.8,319.3,320.8,1032,43.565,135219
GP,320.8,328.0,319.0,319.0,320.8,321.1,1400,69.432,214753
GP,321.1,323.3,319.8,323.3,321.1,323.3,1497,86.17,268454
GP,323.3,324.0,313.2,313.2,323.3,313.4,2572,154.71,482561
GP,313.4,315.0,306.5,310.1,313.4,310.1,1349,45.937,147093
SQURPHARMA,221.8,224.0,221.5,222.0,221.8,221.9,1730,58.734,264590
SQURPHARMA,221.9,224.0,221.0,224.0,221.9,223.5,1994,62.767,282927
SQURPHARMA,223.5,225.5,223.1,225.5,223.5,225.0,1549,48.171,215349
SQURPHARMA,225.0,227.0,224.2,227.0,225.0,224.9,1425,92.281,410253
SQURPHARMA,224.9,225.6,223.2,223.2,224.9,223.1,2424,201.52,896901
SQURPHARMA,223.1,223.4,221.3,221.6,223.1,221.4,1561,104.333,469258
SQURPHARMA,221.4,222.1,221.0,221.5,221.4,221.3,1930,91.522,413323
SQURPHARMA,221.3,222.0,220.8,221.5,221.3,221.0,1819,66.168,299132
SQURPHARMA,221.0,223.0,220.4,223.0,221.0,222.7,2464,77.218,348846
SQURPHARMA,222.7,223.3,222.2,223.3,222.7,223.2,1244,54.56,244988
SQURPHARMA,223.2,224.3,221.7,223.8,223.2,223.6,1620,96.021,430797
SQURPHARMA,223.6,224.4,222.5,222.9,223.6,222.3,1642,118.696,530925
SQURPHARMA,222.3,223.0,220.1,221.6,222.3,221.6,1881,93.198,420016
SQURPHARMA,221.6,224.0,218.1,224.0,221.6,224.0,3623,208.338,943387
SQURPHARMA,224.0,227.0,223.7,224.9,224.0,224.9,3856,247.469,1102186
SQURPHARMA,224.9,228.0,224.5,226.5,224.9,226.5,3678,208.436,923183
SQURPHARMA,226.5,228.0,223.9,225.0,226.5,224.1,3068,233.815,1035444
SQURPHARMA,224.1,224.4,223.2,223.2,224.1,222.8,2536,171.516,765549
SQURPHARMA,222.8,224.0,220.9,220.9,222.8,220.9,2726,177.024,793865
SQURPHARMA,220.9,222.0,218.0,220.3,220.9,220.3,2645,130.252,591092
SQURPHARMA,220.3,224.5,219.9,222.6,220.3,222.5,3069,171.492,773164
SQURPHARMA,222.5,223.0,220.6,220.6,222.5,220.5,2315,115.085,517996
SQURPHARMA,220.5,221.0,217.7,217.7,220.5,217.9,2593,123.506,561830
SQURPHARMA,217.9,218.0,216.9,217.0,217.9,216.9,1311,76.164,350126
SQURPHARMA,216.9,218.0,216.2,218.0,216.9,217.0,1505,88.534,408364
SQURPHARMA,217.0,218.5,216.7,218.0,217.0,217.6,2171,123.054,565796
SQURPHARMA,217.6,217.8,215.9,215.9,217.6,215.7,1873,74.313,342213
SQURPHARMA,215.7,216.3,215.4,216.0,215.7,216.0,1609,116.03,537599
SQURPHARMA,216.0,216.3,215.3,215.4,216.0,215.3,1685,90.271,418107
SQURPHARMA,215.3,215.8,213.0,213.1,215.3,213.1,1881,89.944,418491
SQURPHARMA,213.1,215.3,212.5,215.1,213.1,215.0,2615,170.082,793606
SQURPHARMA,215.0,215.9,212.9,212.9,215.0,212.9,1747,63.594,295712
SQURPHARMA,212.9,213.7,212.5,213.2,212.9,213.2,1649,105.9,497329
SQURPHARMA,213.2,213.6,212.0,212.0,213.2,212.0,1446,66.986,314219
SQURPHARMA,212.0,212.5,211.6,212.5,212.0,211.8,1385,45.977,216871
SQURPHARMA,211.8,212.3,211.5,211.8,211.8,211.8,1474,46.022,217078
SQURPHARMA,211.8,212.7,211.0,212.7,211.8,212.3,1297,39.818,187999
SQURPHARMA,212.3,212.8,209.3,209.9,212.3,209.3,1121,31.69,149754
SQURPHARMA,209.3,209.9,207.5,207.5,209.3,207.3,1736,60.493,290608
SQURPHARMA,207.3,208.9,207.0,207.4,207.3,207.6,2659,92.332,445045
SQURPHARMA,207.6,208.9,207.4,207.8,207.6,207.9,2087,50.911,245019
SQURPHARMA,207.9,208.6,207.5,208.1,207.9,208.1,1549,36.889,177309
SQURPHARMA,208.1,208.8,207.9,208.6,208.1,208.8,2385,55.063,264459
SQURPHARMA,208.8,209.3,208.7,209.1,208.8,209.0,1777,57.31,274425
SQURPHARMA,209.0,210.0,208.8,210.0,209.0,209.0,1641,62.662,299857
SQURPHARMA,209.0,209.5,208.7,209.5,209.0,209.0,2037,45.461,217560
SQURPHARMA,209.0,210.8,208.6,210.2,209.0,210.2,3496,79.16,378097
SQURPHARMA,210.2,212.0,209.9,211.0,210.2,210.6,2007,64.378,306154
SQURPHARMA,210.6,212.5,210.2,210.2,210.6,210.3,1219,43.195,204870
SQURPHARMA,210.3,211.1,210.0,210.5,210.3,210.4,1625,55.995,266301
SQURPHARMA,210.4,211.5,210.1,211.5,210.4,210.9,2252,52.257,248122
SQURPHARMA,210.9,212.0,210.8,211.4,210.9,211.3,2043,72.765,344897
SQURPHARMA,211.3,212.4,211.1,212.4,211.3,211.8,2073,53.323,251972
SQURPHARMA,211.8,213.7,211.7,213.7,211.8,213.7,2112,60.515,285155
SQURPHARMA,213.7,213.9,212.9,213.5,213.7,213.1,983,35.943,168523
SQURPHARMA,213.1,213.4,212.7,213.3,213.1,212.5,1120,42.943,201582
SQURPHARMA,212.5,213.2,212.2,212.7,212.5,212.6,966,24.94,117232
SQURPHARMA,212.6,213.4,211.9,212.0,212.6,212.2,1047,32.721,153848
SQURPHARMA,212.2,213.9,212.0,213.0,212.2,212.8,981,25.595,120509
SQURPHARMA,212.8,213.7,211.3,211.3,212.8,211.3,867,38.543,181104
SQURPHARMA,211.3,212.7,211.0,211.0,211.3,210.9,988,34.643,163790
